GENE_NAME	ANNOT
A1BG	-
A1BG-AS1	-
A1CF	gene expression;cytidine to uridine editing;mRNA modification;protein stabilization;mRNA processing
A2M	"negative regulation of complement activation, lectin pathway;platelet degranulation;small GTPase mediated signal transduction;blood coagulation;blood coagulation, intrinsic pathway;platelet activation;stem cell differentiation;regulation of small GTPase mediated signal transduction"
A2M-AS1	-
A2ML1	negative regulation of peptidase activity;regulation of endopeptidase activity
A2MP1	-
A4GALT	lipid biosynthetic process;glycosphingolipid biosynthetic process;plasma membrane organization
A4GNT	carbohydrate metabolic process;protein O-linked glycosylation;glycoprotein biosynthetic process
AAAS	hexose transport;transmembrane transport;fertilization;regulation of glucose transport;glucose transport;viral reproduction;carbohydrate metabolic process;cytokine-mediated signaling pathway;nucleocytoplasmic transport;small molecule metabolic process;learning;regulation of nucleocytoplasmic transport
AACS	liver development;response to drug;lipid metabolic process;response to starvation;fatty acid metabolic process;response to ethanol;response to nutrient;white fat cell differentiation;response to organic nitrogen;adipose tissue development;response to purine-containing compound;cellular response to glucose stimulus;positive regulation of insulin secretion;cellular response to testosterone stimulus;response to oleic acid;cellular response to cholesterol
AACSP1	-
AADAC	metabolic process;positive regulation of triglyceride catabolic process
AADACL3	metabolic process
AADACP1	-
AADAT	small molecule metabolic process;2-oxoglutarate metabolic process;kynurenine metabolic process;glutamate metabolic process;lysine catabolic process;tryptophan catabolic process;biosynthetic process;tryptophan catabolic process to kynurenine;cellular nitrogen compound metabolic process
AAED1	-
AAGAB	protein transport
AAK1	regulation of clathrin-mediated endocytosis;protein phosphorylation;endocytosis;regulation of protein localization;positive regulation of Notch signaling pathway;protein autophosphorylation;protein stabilization
AAMDC	-
AAMP	cell differentiation;angiogenesis;multicellular organismal development;positive regulation of endothelial cell migration;smooth muscle cell migration
AANAT	cellular nitrogen compound metabolic process;circadian rhythm;response to prostaglandin E stimulus;response to light stimulus;small molecule metabolic process;response to zinc ion;indolalkylamine biosynthetic process;response to organic cyclic compound;response to copper ion;melatonin biosynthetic process;response to corticosterone stimulus;response to insulin stimulus;response to cAMP;response to cytokine stimulus;response to calcium ion
AAR2	-
AARD	lung development
AARS	hair follicle development;endoplasmic reticulum unfolded protein response;tRNA modification;response to amino acid stimulus;tRNA aminoacylation for protein translation;negative regulation of neuron apoptosis;alanyl-tRNA aminoacylation;skin development;protein folding;neuromuscular process controlling balance;tRNA processing;gene expression;cerebellar Purkinje cell layer development
AARS2	alanyl-tRNA aminoacylation;gene expression;tRNA aminoacylation for protein translation
AARSD1	translation;alanyl-tRNA aminoacylation;tRNA aminoacylation
AASDH	lipid metabolic process;fatty acid metabolic process
AASDHPPT	macromolecule biosynthetic process;pantothenate metabolic process;small molecule metabolic process;vitamin metabolic process;water-soluble vitamin metabolic process
AASS	lysine catabolic process;L-lysine catabolic process;cellular nitrogen compound metabolic process;small molecule metabolic process;protein tetramerization
AATBC	-
AATF	embryonic cleavage;apoptotic process;ribosome biogenesis;anti-apoptosis;negative regulation of amyloid precursor protein biosynthetic process;response to DNA damage stimulus;positive regulation of transcription from RNA polymerase II promoter;cell adhesion;nerve growth factor receptor signaling pathway;regulation of mitotic cell cycle;negative regulation of reactive oxygen species metabolic process;induction of apoptosis by extracellular signals;negative regulation of superoxide anion generation
AATK	apoptotic process;protein autophosphorylation
AATK-AS1	-
ABAT	behavior;response to ethanol;copulation;negative regulation of blood pressure;locomotory behavior;behavioral response to cocaine;gamma-aminobutyric acid catabolic process;response to iron ion;response to hypoxia;response to nicotine;synaptic transmission;neurotransmitter catabolic process;neurotransmitter secretion;response to drug
ABCA1	"phagocytosis, engulfment;endosome transport;apolipoprotein A-I-mediated signaling pathway;phospholipid homeostasis;lysosome organization;positive regulation of cAMP biosynthetic process;lipoprotein metabolic process;response to low-density lipoprotein particle stimulus;G-protein coupled receptor signaling pathway;intracellular cholesterol transport;cholesterol homeostasis;platelet dense granule organization;peptide secretion;steroid metabolic process;Cdc42 protein signal transduction;reverse cholesterol transport;cellular response to lipopolysaccharide;protein lipidation;cholesterol metabolic process;cholesterol efflux;cellular lipid metabolic process;cellular response to retinoic acid;lipid metabolic process;negative regulation of macrophage derived foam cell differentiation;phospholipid efflux;small molecule metabolic process;transport;positive regulation of cholesterol efflux;high-density lipoprotein particle assembly;phospholipid translocation;anion transport;negative regulation of cholesterol storage;response to laminar fluid shear stress;interleukin-1 beta secretion"
ABCA10	transport
ABCA11P	-
ABCA12	lipid transport;cellular homeostasis;transport
ABCA13	transport
ABCA17P	-
ABCA2	transport;regulation of intracellular cholesterol transport;response to drug;cholesterol homeostasis;response to steroid hormone stimulus;ATP catabolic process;regulation of transcription from RNA polymerase II promoter;lipid metabolic process
ABCA3	transport;response to drug;transmembrane transport
ABCA4	"phospholipid transfer to membrane;transport;visual perception;phototransduction, visible light;photoreceptor cell maintenance;response to stimulus;transmembrane transport"
ABCA5	cholesterol efflux;high-density lipoprotein particle remodeling;reverse cholesterol transport;transport;negative regulation of macrophage derived foam cell differentiation
ABCA6	transport
ABCA7	phagocytosis;phospholipid efflux;transmembrane transport
ABCA8	transport;transmembrane transport
ABCA9	transport
ABCB1	G2/M transition of mitotic cell cycle;transport;response to drug;transmembrane transport;stem cell proliferation
ABCB10	transport;transmembrane transport
ABCB10P3	-
ABCB10P4	-
ABCB11	canalicular bile acid transport;small molecule metabolic process;transmembrane transport;bile acid biosynthetic process;transport;bile acid metabolic process;bile acid and bile salt transport
ABCB4	transport;response to drug;cellular lipid metabolic process;small molecule metabolic process;response to glucocorticoid stimulus;transmembrane transport;lipid metabolic process
ABCB5	regulation of membrane potential;transmembrane transport
ABCB6	cellular iron ion homeostasis;heme transport;transmembrane transport;cadmium ion transmembrane transport;detoxification of cadmium ion;porphyrin-containing compound biosynthetic process;transport
ABCB7	transport;cellular iron ion homeostasis;heme transport;transmembrane transport
ABCB8	transport;transmembrane transport
ABCB9	positive regulation of T cell mediated cytotoxicity;antigen processing and presentation of peptide antigen via MHC class I;protein transport;peptide transport;transmembrane transport
ABCC1	transport;leukotriene biosynthetic process;response to drug;small molecule metabolic process;transmembrane transport;ATP catabolic process;prostanoid metabolic process
ABCC10	transmembrane transport
ABCC11	transmembrane transport
ABCC12	transmembrane transport
ABCC13	transmembrane transport
ABCC2	transport;organic anion transport;transmembrane transport
ABCC3	transport;bile acid metabolic process;organic anion transport;bile acid and bile salt transport;small molecule metabolic process;transmembrane transport
ABCC4	blood coagulation;platelet activation;transmembrane transport;platelet degranulation;ion transport
ABCC5	transport;organic anion transport;response to lipopolysaccharide;response to insulin stimulus;transmembrane transport
ABCC5-AS1	-
ABCC6	transmembrane transport;transport;visual perception;response to drug;response to stimulus
ABCC6P1	-
ABCC8	energy reserve metabolic process;positive regulation of potassium ion transport;potassium ion transport;small molecule metabolic process;synaptic transmission;negative regulation of insulin secretion;response to pH;regulation of insulin secretion;response to zinc ion;transmembrane transport;response to lipopolysaccharide;potassium ion transmembrane transport;response to insulin stimulus;carbohydrate metabolic process;response to drug
ABCC9	potassium ion import;defense response to virus;transmembrane transport;potassium ion transport;synaptic transmission
ABCD1	peroxisome organization;peroxisomal long-chain fatty acid import;peroxisomal membrane transport;fatty acid beta-oxidation using acyl-CoA oxidase;cellular lipid metabolic process;small molecule metabolic process;transmembrane transport;ATP catabolic process
ABCD1P2	-
ABCD1P3	-
ABCD1P4	-
ABCD1P5	-
ABCD2	transmembrane transport;very long-chain fatty acid metabolic process;positive regulation of fatty acid beta-oxidation
ABCD3	transmembrane transport;ATP catabolic process;response to drug
ABCD4	transmembrane transport
ABCE1	RNA catabolic process;response to virus;interspecies interaction between organisms
ABCF1	positive regulation of translation;translation;translational initiation;inflammatory response;ribosome biogenesis
ABCF2	transport
ABCF2P1	-
ABCF2P2	-
ABCF3	-
ABCG1	"regulation of cholesterol esterification;low-density lipoprotein particle remodeling;positive regulation of cholesterol biosynthetic process;positive regulation of cholesterol efflux;high-density lipoprotein particle remodeling;transmembrane transport;regulation of transcription, DNA-dependent;negative regulation of cholesterol storage;glycoprotein transport;phospholipid homeostasis;lipid metabolic process;phospholipid transport;lipoprotein metabolic process;response to high density lipoprotein particle stimulus;cholesterol metabolic process;intracellular cholesterol transport;cholesterol homeostasis;detection of hormone stimulus;cholesterol efflux;amyloid precursor protein catabolic process;response to organic substance;phospholipid efflux;reverse cholesterol transport;negative regulation of macrophage derived foam cell differentiation;response to lipid;small molecule metabolic process"
ABCG2	response to drug;urate metabolic process;transmembrane transport;transport;cellular iron ion homeostasis;heme transport
ABCG4	cholesterol efflux;transmembrane transport
ABCG5	ATP catabolic process;cholesterol efflux;lipid metabolic process;response to drug;response to nutrient;cholesterol homeostasis;excretion;small molecule metabolic process;response to ionizing radiation;negative regulation of intestinal cholesterol absorption;negative regulation of intestinal phytosterol absorption;transmembrane transport;sterol transport;intestinal cholesterol absorption
ABCG8	excretion;negative regulation of intestinal cholesterol absorption;negative regulation of intestinal phytosterol absorption;transmembrane transport;phospholipid transport;sterol transport;intestinal cholesterol absorption;cholesterol efflux;ATP catabolic process;cholesterol homeostasis;lipid metabolic process;small molecule metabolic process
ABHD1	-
ABHD10	proteolysis
ABHD11	-
ABHD11-AS1	-
ABHD12	-
ABHD12B	-
ABHD13	-
ABHD14A	-
ABHD14B	-
ABHD15	-
ABHD16A	-
ABHD16B	-
ABHD17A	-
ABHD17AP3	-
ABHD17AP4	-
ABHD17AP5	-
ABHD17AP6	-
ABHD17B	-
ABHD17C	-
ABHD18	-
ABHD2	response to wounding;negative regulation of cell migration
ABHD3	-
ABHD4	lipid catabolic process
ABHD5	negative regulation of sequestering of triglyceride;positive regulation of triglyceride catabolic process;triglyceride catabolic process;cell differentiation;lipid metabolic process;small molecule metabolic process;fatty acid metabolic process;positive regulation of lipoprotein lipase activity;phosphatidic acid biosynthetic process;phospholipid biosynthetic process
ABHD6	negative regulation of cell migration;long term synaptic depression;regulation of endocannabinoid signaling pathway
ABHD8	-
ABI1	peptidyl-tyrosine phosphorylation;somitogenesis;cellular component movement;transmembrane receptor protein tyrosine kinase signaling pathway;actin polymerization or depolymerization;negative regulation of cell proliferation
ABI2	actin polymerization or depolymerization;cell migration;peptidyl-tyrosine phosphorylation;cellular component movement;cytoskeleton organization
ABI3	cellular component movement;peptidyl-tyrosine phosphorylation;regulation of cell migration
ABI3BP	positive regulation of cell-substrate adhesion;extracellular matrix organization
ABL1	"regulation of transcription involved in S phase of mitotic cell cycle;regulation of autophagy;positive regulation of muscle cell differentiation;mismatch repair;peptidyl-tyrosine phosphorylation;positive regulation of oxidoreductase activity;regulation of transcription, DNA-dependent;actin cytoskeleton organization;negative regulation of protein serine/threonine kinase activity;protein modification process;regulation of endocytosis;regulation of cell motility;DNA damage induced protein phosphorylation;regulation of cell adhesion;regulation of actin cytoskeleton reorganization;axon guidance;muscle cell differentiation;regulation of response to DNA damage stimulus;blood coagulation;signal transduction in response to DNA damage;DNA damage response, signal transduction resulting in induction of apoptosis;positive regulation of apoptotic process"
ABL2	signal transduction;cellular response to retinoic acid;axon guidance;regulation of cell motility;regulation of autophagy;regulation of actin cytoskeleton reorganization;positive regulation of neuron projection development;peptidyl-tyrosine phosphorylation;regulation of endocytosis;protein modification process;regulation of cell adhesion;protein phosphorylation;positive regulation of oxidoreductase activity
