go_child_term	go_child_term_name	ontology
GO:0008150	biological_process	BP
GO:0008152	metabolic process	BP
GO:0009987	cellular process	BP
GO:0044237	cellular metabolic process	BP
GO:0044238	primary metabolic process	BP
GO:0006807	nitrogen compound metabolic process	BP
GO:0043170	macromolecule metabolic process	BP
GO:0034641	cellular nitrogen compound metabolic process	BP
GO:0046483	heterocycle metabolic process	BP
GO:0006725	cellular aromatic compound metabolic process	BP
GO:0006139	nucleobase-containing compound metabolic process	BP
GO:0009058	biosynthetic process	BP
GO:0055114	oxidation-reduction process	BP
GO:0051179	localization	BP
GO:0051234	establishment of localization	BP
GO:0006810	transport	BP
GO:0044281	small molecule metabolic process	BP
GO:0006793	phosphorus metabolic process	BP
GO:0065007	biological regulation	BP
GO:0019538	protein metabolic process	BP
GO:0016070	RNA metabolic process	BP
GO:0006082	organic acid metabolic process	BP
GO:0009117	nucleotide metabolic process	BP
GO:0055085	transmembrane transport	BP
GO:0009056	catabolic process	BP
GO:0016310	phosphorylation	BP
GO:0050896	response to stimulus	BP
GO:0006811	ion transport	BP
GO:0009116	nucleoside metabolic process	BP
GO:0006259	DNA metabolic process	BP
GO:0006520	cellular amino acid metabolic process	BP
GO:0034655	nucleobase-containing compound catabolic process	BP
GO:0043412	macromolecule modification	BP
GO:0046034	ATP metabolic process	BP
GO:0006508	proteolysis	BP
GO:0005975	carbohydrate metabolic process	BP
GO:0006412	translation	BP
GO:0007154	cell communication	BP
GO:0007165	signal transduction	BP
GO:0006396	RNA processing	BP
GO:0006950	response to stress	BP
GO:0006464	cellular protein modification process	BP
GO:0051704	multi-organism process	BP
GO:0006351	"transcription, DNA-templated"	BP
GO:0006399	tRNA metabolic process	BP
GO:0006629	lipid metabolic process	BP
GO:0051186	cofactor metabolic process	BP
GO:0006818	hydrogen transport	BP
GO:0044419	interspecies interaction between organisms	BP
GO:0044403	"symbiosis, encompassing mutualism through parasitism"	BP
GO:0016032	viral process	BP
GO:0016043	cellular component organization	BP
GO:0044255	cellular lipid metabolic process	BP
GO:0006091	generation of precursor metabolites and energy	BP
GO:0008643	carbohydrate transport	BP
GO:0006281	DNA repair	BP
GO:0015031	protein transport	BP
GO:0040011	locomotion	BP
GO:0000160	phosphorelay signal transduction system	BP
GO:0006260	DNA replication	BP
GO:0006790	sulfur compound metabolic process	BP
GO:0042254	ribosome biogenesis	BP
GO:0015849	organic acid transport	BP
GO:0006766	vitamin metabolic process	BP
GO:0045333	cellular respiration	BP
GO:0071554	cell wall organization or biogenesis	BP
GO:0051641	cellular localization	BP
GO:0006865	amino acid transport	BP
GO:0046039	GTP metabolic process	BP
GO:0051301	cell division	BP
GO:0007049	cell cycle	BP
GO:0022607	cellular component assembly	BP
GO:0032501	multicellular organismal process	BP
GO:0043603	cellular amide metabolic process	BP
GO:0005976	polysaccharide metabolic process	BP
GO:0032502	developmental process	BP
GO:0061024	membrane organization	BP
GO:0009308	amine metabolic process	BP
GO:0048856	anatomical structure development	BP
GO:0006996	organelle organization	BP
GO:0022900	electron transport chain	BP
GO:0022610	biological adhesion	BP
GO:0006119	oxidative phosphorylation	BP
GO:0006457	protein folding	BP
GO:0042592	homeostatic process	BP
GO:0032392	DNA geometric change	BP
GO:0015074	DNA integration	BP
GO:0045229	external encapsulating structure organization	BP
GO:0071555	cell wall organization	BP
GO:0065003	macromolecular complex assembly	BP
