CHEBI	NSC	NAME	STATUS	DRUGBANK	PATHWAY_COMMONS	
CHEBI:44185	740	Methotrexate	FDA approved	TRUE	TRUE	
CHEBI:50679	740	Methotrexate	FDA approved	TRUE	TRUE	
CHEBI:9555	752	6-Thioguanine	FDA approved	TRUE	TRUE	
CHEBI:2208	755	6-Mercaptopurine	FDA approved	TRUE	TRUE	
CHEBI:31822	755	6-Mercaptopurine	FDA approved	TRUE	TRUE	
CHEBI:50667	755	6-Mercaptopurine	FDA approved	TRUE	TRUE	
CHEBI:40279	1390	Allopurinol	FDA approved	TRUE	TRUE	
CHEBI:27666	3053	Actinomycin D	FDA approved	TRUE	TRUE	
CHEBI:28830	3088	Chlorambucil	FDA approved	TRUE	TRUE	
CHEBI:9570	6396	Thiotepa	FDA approved	TRUE	TRUE	
CHEBI:31523	12198	Dromostanolone Propionate	FDA approved	TRUE	TRUE	
CHEBI:46345	19893	Fluorouracil	FDA approved	TRUE	TRUE	
CHEBI:7468	23162	Nandrolone phenpropionate	FDA approved	TRUE	TRUE	
CHEBI:9460	23759	Testolactone	FDA approved	TRUE	TRUE	
CHEBI:4026	26271	Cyclophosphamide	FDA approved	TRUE	TRUE	
CHEBI:4027	26271	Cyclophosphamide	FDA approved	TRUE	TRUE	
CHEBI:60761	27640	Floxuridine	FDA approved	TRUE	TRUE	
CHEBI:44423	32065	Hydroxyurea	FDA approved	TRUE	TRUE	
CHEBI:3962	32982	Curcumin	Clinical trial	TRUE	TRUE	
CHEBI:41879	34521	Dexamethasone Decadron	FDA approved	TRUE	TRUE	
CHEBI:28445	67574	Vincristine	FDA approved	TRUE	TRUE	
CHEBI:6520	79037	Lomustine	FDA approved	TRUE	TRUE	
CHEBI:41977	82151	Daunorubicin	FDA approved	TRUE	TRUE	
CHEBI:41977	83142	Daunorubicin	FDA approved	TRUE	TRUE	
CHEBI:4868	89201	Estramustine	FDA approved	TRUE	TRUE	
CHEBI:31623	92339	Fluphenazine	FDA approved	TRUE	TRUE	
CHEBI:2038	102816	Azacitidine	FDA approved	TRUE	TRUE	
CHEBI:567361	105014	Cladribine	FDA approved	TRUE	TRUE	
CHEBI:5864	109724	Ifosfamide	FDA approved	TRUE	TRUE	
NA	109874	Benzimate	Clinical trial	FALSE	TRUE	
CHEBI:15367	122758	Isotretinoin	FDA approved	TRUE	TRUE	
CHEBI:35291	122758	Isotretinoin	FDA approved	TRUE	TRUE	
CHEBI:75988	122819	Teniposide	FDA approved	TRUE	TRUE	
CHEBI:28748	123127	Doxorubicin	FDA approved	TRUE	TRUE	
CHEBI:45863	125973	Paclitaxel	FDA approved	TRUE	TRUE	
CHEBI:50131	127716	Decitabine	FDA approved	TRUE	TRUE	
CHEBI:4911	141540	Etoposide	FDA approved	TRUE	TRUE	
CHEBI:71019	141633	Homoharringtonine	FDA approved	TRUE	TRUE	
CHEBI:32188	148958	Tegafur	FDA approved	TRUE	TRUE	
CHEBI:50223	169780	Dexrazoxane	FDA approved	TRUE	TRUE	
CHEBI:50224	169780	Dexrazoxane	FDA approved	TRUE	TRUE	
CHEBI:50225	169780	Dexrazoxane	FDA approved	TRUE	TRUE	
CHEBI:8212	170984	Pimozide	Clinical trial	TRUE	TRUE	
CHEBI:79369	174939	Elesclomol	Clinical trial	TRUE	TRUE	
CHEBI:52289	221019	Wortmannin	Clinical trial	TRUE	TRUE	
CHEBI:9168	226080	Rapamycin	FDA approved	TRUE	TRUE	
CHEBI:42068	256439	Idarubicin	FDA approved	TRUE	TRUE	
CHEBI:47898	256942	Epirubicin	FDA approved	TRUE	TRUE	
CHEBI:50727	279836	Mitoxantrone	FDA approved	TRUE	TRUE	
CHEBI:50729	279836	Mitoxantrone	FDA approved	TRUE	TRUE	
CHEBI:28680	287459	Cytarabine	FDA approved	TRUE	TRUE	
CHEBI:50727	301739	Mitoxantrone	FDA approved	TRUE	TRUE	
CHEBI:50729	301739	Mitoxantrone	FDA approved	TRUE	TRUE	
CHEBI:63599	312887	Fludarabine	FDA approved	TRUE	TRUE	
CHEBI:28714	326231	Buthionine sulphoximine	Clinical trial	TRUE	TRUE	
CHEBI:64153	330507	Tanespimycin	Clinical trial	TRUE	TRUE	
CHEBI:28814	365798	Fostamatinib	Clinical trial	TRUE	TRUE	
CHEBI:36704	369100	Imiquimod	FDA approved	TRUE	TRUE	
CHEBI:42588	374551	Fenretinide	Clinical trial	TRUE	TRUE	
CHEBI:3423	409962	Carmustine	FDA approved	TRUE	TRUE	
CHEBI:63632	609699	Topotecan	FDA approved	TRUE	TRUE	
CHEBI:175901	613327	Gemcitabine	FDA approved	TRUE	TRUE	
CHEBI:31647	613327	Gemcitabine	FDA approved	TRUE	TRUE	
CHEBI:4672	628503	Docetaxel	FDA approved	TRUE	TRUE	
CHEBI:59809	628503	Docetaxel	FDA approved	TRUE	TRUE	
CHEBI:61080	630176	Depsipeptide	FDA approved	TRUE	TRUE	
CHEBI:9150	633782	Simvastatin	FDA approved	TRUE	TRUE	
CHEBI:5847	639186	Raltitrexed	FDA approved	TRUE	TRUE	
CHEBI:67272	639966	Perifosine	Clinical trial	TRUE	TRUE	
CHEBI:8988	673596	7-Ethyl-10-hydroxycamptothecin	FDA approved	TRUE	TRUE	
CHEBI:77954	679828	PD-98059	Clinical trial	TRUE	TRUE	
CHEBI:52717	681239	Bortezomib	FDA approved	TRUE	TRUE	
CHEBI:79699	683864	Temsirolimus	FDA approved	TRUE	TRUE	
CHEBI:31550	684363	Epothilone B	Clinical trial	TRUE	TRUE	
CHEBI:65329	697286	LY-294002	Clinical trial	TRUE	TRUE	
CHEBI:63616	698037	Pemetrexed	FDA approved	TRUE	TRUE	
CHEBI:63722	698037	Pemetrexed	FDA approved	TRUE	TRUE	
CHEBI:63723	698037	Pemetrexed	FDA approved	TRUE	TRUE	
CHEBI:45307	701554	Seliciclib	Clinical trial	TRUE	TRUE	
CHEBI:45716	701852	Vorinostat	FDA approved	TRUE	TRUE	
CHEBI:70710	707389	Eribulin mesilate	FDA approved	TRUE	TRUE	
CHEBI:65324	707545	Alvespimycin	Clinical trial	TRUE	TRUE	
CHEBI:49668	715055	Gefitinib	FDA approved	TRUE	TRUE	
CHEBI:114785	718781	Erlotinib	FDA approved	TRUE	TRUE	
CHEBI:53509	718781	Erlotinib	FDA approved	TRUE	TRUE	
CHEBI:31638	719276	Fulvestrant	FDA approved	TRUE	TRUE	
CHEBI:41423	719627	Celecoxib	FDA approved	TRUE	TRUE	
CHEBI:46557	721517	Zoledronate	FDA approved	TRUE	TRUE	
CHEBI:61076	726630	Belinostat	Clinical trial	TRUE	TRUE	
CHEBI:80630	728073	Irinotecan	FDA approved	TRUE	TRUE	
CHEBI:49375	732517	Dasatinib	FDA approved	TRUE	TRUE	
CHEBI:90227	741078	Selumetinib	Clinical trial	TRUE	TRUE	
CHEBI:31690	743414	Imatinib	FDA approved	TRUE	TRUE	
CHEBI:45783	743414	Imatinib	FDA approved	TRUE	TRUE	
CHEBI:49603	745750	Lapatinib	FDA approved	TRUE	TRUE	
CHEBI:52172	747599	Nilotinib	FDA approved	TRUE	TRUE	
CHEBI:63605	747973	Ixabepilone	FDA approved	TRUE	TRUE	
CHEBI:50740	747974	Raloxifene	FDA approved	TRUE	TRUE	
CHEBI:8772	747974	Raloxifene	FDA approved	TRUE	TRUE	
CHEBI:68642	749226	Abiraterone	FDA approved	TRUE	TRUE	
CHEBI:38940	750690	Sunitinib	FDA approved	TRUE	TRUE	
CHEBI:61390	750691	Afatinib	Clinical trial	TRUE	TRUE	
CHEBI:76003	750691	Afatinib	Clinical trial	TRUE	TRUE	
CHEBI:71219	752782	Pazopanib	FDA approved	TRUE	TRUE	
CHEBI:61080	754143	Depsipeptide	FDA approved	TRUE	TRUE	
CHEBI:71223	754230	Pralatrexate	FDA approved	TRUE	TRUE	
CHEBI:63612	755985	Nelarabine	FDA approved	TRUE	TRUE	
CHEBI:41977	756717	Daunorubicin	FDA approved	TRUE	TRUE	
CHEBI:46345	757036	Fluorouracil	FDA approved	TRUE	TRUE	
CHEBI:9555	757348	6-Thioguanine	FDA approved	TRUE	TRUE	
CHEBI:66910	757441	Axitinib	FDA approved	TRUE	TRUE	
CHEBI:2038	758186	Azacitidine	FDA approved	TRUE	TRUE	
CHEBI:9150	758706	Simvastatin	FDA approved	TRUE	TRUE	
CHEBI:30621	759274	Arsenic trioxide	FDA approved	TRUE	TRUE	
CHEBI:2208	759614	6-Mercaptopurine	FDA approved	TRUE	TRUE	
CHEBI:31822	759614	6-Mercaptopurine	FDA approved	TRUE	TRUE	
CHEBI:50667	759614	6-Mercaptopurine	FDA approved	TRUE	TRUE	
CHEBI:45716	759852	Vorinostat	FDA approved	TRUE	TRUE	
CHEBI:49668	759856	Gefitinib	FDA approved	TRUE	TRUE	
CHEBI:49375	759877	Dasatinib	FDA approved	TRUE	TRUE	
CHEBI:42588	760419	Fenretinide	Clinical trial	TRUE	TRUE	
CHEBI:49960	760766	Vandetanib	FDA approved	TRUE	TRUE	
CHEBI:63637	761431	Vemurafenib	FDA approved	TRUE	TRUE	
CHEBI:31856	105024			TRUE	FALSE	
NA	109229			FALSE	FALSE	
NA	117186			FALSE	FALSE	
CHEBI:63599	118218			TRUE	TRUE	
CHEBI:27899	119875			TRUE	FALSE	
CHEBI:63599	124463			TRUE	TRUE	
CHEBI: 22907	125066			TRUE	TRUE	
CHEBI:27504	134727			TRUE	FALSE	
NA	138783			FALSE	FALSE	*
NA	14229			FALSE	FALSE	
CHEBI:31856	143020			TRUE	FALSE	
CHEBI:7939	157035			FALSE	TRUE	
CHEBI:41774	180973			TRUE	TRUE	
NA	218321			TRUE	FALSE	
CHEBI:31355	241240			TRUE	FALSE*	
CHEBI:31856	24559			TRUE	FALSE_OK	
NA	246131			FALSE	FALSE_OK	
CHEBI:8242	25154			TRUE	FALSE_OK	
NA	255109			FALSE	FALSE_OK	
NA	264137			FALSE	FALSE_OK	
CHEBI: 31941	266046			TRUE	FALSE_BAD	
CHEBI:27504	26980			TRUE	FALSE_BAD	
NA	280594			FALSE	FALSE_OK	
NA	281612			FALSE	FALSE	
NA	308847			TRUE	FALSE_OK	
NA	320846			FALSE	FALSE_OK	
CHEBI:9884	34462			TRUE	FALSE_OK	
NA	354258			FALSE	FALSE_OK	
CHEBI:83275	354462			FALSE	FALSE_OK	
CHEBI:78373	36405			FALSE	FALSE_OK	
NA	366140			FALSE	FALSE_OK	
CHEBI:67357	376128			FALSE	FALSE_OK	
NA	382456			FALSE	FALSE_OK	
CHEBI:6076	383507			TRUE	TRUE	
CHEBI:4305	38721			TRUE	TRUE	
CHEBI:4305	45388			TRUE	TRUE	
CHEBI:27375	49842			TRUE	TRUE	
CHEBI:31856	526598			TRUE	FALSE	
NA	59687			FALSE	FALSE	
CHEBI:9168	606698			TRUE	TRUE	
CHEBI:681569	606869			TRUE	TRUE	
CHEBI:480999	608210			TRUE	TRUE	
NA	614826			FALSE	FALSE	
CHEBI:80630	616348			TRUE	TRUE	
CHEBI:15738	618487			TRUE	TRUE	
NA	621867			FALSE	FALSE_OK	
NA	627168			FALSE	FALSE_OK	
NA	629749			FALSE	FALSE_OK	
NA	637037			FALSE	FALSE_OK	
NA	638646			FALSE	FALSE_OK	
CHEBI:28680	63878			TRUE	TRUE	
NA	638850			FALSE	FALSE_OK	
CHEBI:29014	63984			FALSE	TRUE	
CHEBI:47344	649890			TRUE	TRUE	
CHEBI:63452	656576			FALSE	TRUE	
NA	656889			FALSE	FALSE_OK	
NA	663249			FALSE	FALSE_OK	
NA	668814			FALSE	FALSE_OK	
CHEBI:44658	677083			FALSE	TRUE	
NA	683863			TRUE	FALSE_OK	
NA	686288			FALSE	FALSE_OK	
NA	694501			FALSE	FALSE_OK	
NA	697726			FALSE	FALSE_OK	
NA	697887			FALSE	FALSE_OK	
NA	697912			FALSE	FALSE_OK	
NA	697979			TRUE	FALSE_OK	
CHEBI:4868	702294			TRUE	TRUE	
NA	706363			TRUE	FALSE_OK	
NA	706995			FALSE	FALSE_OK	
NA	708298			FALSE	FALSE_OK	
NA	710270			TRUE	FALSE_OK	
NA	710297			FALSE	FALSE_OK	
NA	710464			FALSE	FALSE_OK	
NA	713763			FALSE	FALSE_OK	
CHEBI:6723	71423			TRUE	TRUE	
NA	714597			TRUE	FALSE_OK	
NA	719239			FALSE	FALSE_OK	
NA	724998			FALSE	FALSE_OK	
NA	725776			FALSE	FALSE_OK	
CHEBI:49603	727989			TRUE	TRUE	
NA	728165			FALSE	FALSE_OK	
NA	732011			FALSE	FALSE_OK	
CHEBI:68478	733504			TRUE	TRUE	
NA	734325			FALSE	FALSE_OK	
CHEBI:71219	737754			TRUE	TRUE	
NA	744912			FALSE	FALSE_OK	
CHEBI:7496	747167			TRUE	FALSE_BAD	
CHEBI:83766	747856			TRUE	FALSE_BAD	
CHEBI:68642	749227			TRUE	TRUE	
CHEBI:80025	751548			FALSE	TRUE	
CHEBI:27666	755841			TRUE	TRUE	
CHEBI:27504	755880			TRUE	FALSE_BAD	
CHEBI:64310	756645			TRUE	TRUE	
NA	756646			FALSE	FALSE_OK	*
CHEBI:4551	756738			TRUE	TRUE	
CHEBI:4903	757027			TRUE	TRUE	
NA	757087			FALSE	FALSE_OK	*
CHEBI:28876	757098			TRUE	FALSE_BAD	
